id,title,title_ar,url
143,Telepoetic: Ensehab ,تيليبوتيك: انسحاب,https://youtu.be/77HYjbiAKtE
144,Toys,لعب أطفال,https://www.youtube.com/watch?v=UTfiGsKUxvs
145,The Surface of Spectral Scattering ,انتشار طيفي,https://www.youtube.com/watch?v=G-3StZMQavg
146,Lost Referents of Some Attraction ,مرجعيات مفقودة متواضعة الجاذبية,https://www.youtube.com/watch?v=rfEjnnAR2b4
147,El Rass ,الراس,https://youtu.be/LV3JhquQQkU
148,Mehdi Haddab,مهدي حداب,https://youtu.be/vbONkMvcWxI
149,"Sun Ra in Egypt, 1971 ",صن رع في مصر، ١٩٧١,https://youtu.be/uzdZxTFIuSM
150,Al Araba Al Madfuna in Cairo ,العرابة المدفونة في القاهرة,https://www.youtube.com/watch?v=P7kRNdVyFKQ
151,Layer of green ,مستوى أخضر,https://www.youtube.com/watch?v=M12U0_jplGE
152,Hassan Khan: Taraban ,حسن خان: طرباً,https://www.youtube.com/watch?v=k0vGwV525sg
153,Hydrogen ,هيدروجين,https://www.youtube.com/watch?v=BTC5_iR8FYo
154,Fictional Museum ,المتحف الإفتراضي,https://www.youtube.com/watch?v=ibjT1JVcp50
155,Zeid Hamdan ,زيد حمدان,https://youtu.be/Ra1jfFAGVH8
156,Doa Aly ,دعاء علي,https://www.youtube.com/watch?v=IUKJsBDcvbw
157,Painter on a study trip ,رسام في رحلة دراسية,https://www.youtube.com/watch?v=4IaoZh76XVg
158,A portrait of AFAC ,عن آفاق,https://www.youtube.com/watch?v=phldyyJ-XmA
159,Hashem L Kelesh,هاشم الكلش,https://youtu.be/vjKTMFi0aPA
160,March Project,معرض مارس,https://www.youtube.com/watch?v=4s3t7iKtDk0
161,La voix est libre,الأصوات الحرة,https://www.youtube.com/watch?v=XPvJyGmIdw4
162,Yasmine Hamdan - Nag,ياسمين حمدان - ناج,https://youtu.be/RPSwpLMzw5I
163,Violence Lointaine ,عنف بعيد,https://www.youtube.com/watch?v=oQZVSLvKizw
164,Make room for me ,عراك,https://www.youtube.com/watch?v=Y4fWHi5M6FY
165,Islam Chipsy @D-CAF ,إسلام شيبسي في دي كاف,https://youtu.be/oRlUXXlc_eU
166,On the road ,على الطريق,https://www.youtube.com/watch?v=LTvk96l_YGo
167,Andeel ,أنديل,https://youtu.be/JM8rsuGjOYw
168,Cinderella's Tales ,حكايات سندريلا,https://www.youtube.com/watch?v=ilwJfabzVWE
169,Hello Zimo ,هالو زيمو,https://youtu.be/_FQ2mXlfuew
170,Meeting Points 7 ,نقاط لقاء ٧,https://www.youtube.com/watch?v=8BMOATrN9Vw
171,The Passions of the Trash Drive ,غرام دافع القمامة,https://www.youtube.com/watch?v=FRVYCtJCK6I
172,Dawawine,دواوين,https://www.youtube.com/watch?v=1ZNUVrnEIB8
173,The 5th 2B Continued Festival,مهرجان البقية تأتي الخامس,https://www.youtube.com/watch?v=JgJUUUmmdCE
174,Medrar TV,مدرار تي في,https://www.youtube.com/watch?v=J81U1LajsU4
175,References ,مراجع,https://www.youtube.com/watch?v=vtkHYMutvqk
176,98Weeks Research/Project Space ,مساحة ٩٨أسبوع,https://www.youtube.com/watch?v=gZLSryHNncY
177,Horreya or Kharya ,حْرية,https://www.youtube.com/watch?v=Ke8aSsmhH1M
178,Cut and Paste ,قص ولصق,https://www.youtube.com/watch?v=7m1oCA-SDbI
179,A portrait of artist Monira Al Qadiri ,عن الفنانة منيرة القديري,https://www.youtube.com/watch?v=AHeMEvnPKsU
180,The 24th Youth Salon ,صالون الشباب ال٢٤,https://www.youtube.com/watch?v=vyC-dB_dDWM
181,Cairo Berlin exhibition,معرض كايرو برلين,https://www.youtube.com/watch?v=Y9q89N6rs58
182,Brain Damage ,تلف في الدماغ,https://www.youtube.com/watch?v=06P-r16NRiU
183,Exposure 2013,عتبات ٢٠١٣,https://www.youtube.com/watch?v=1FJw7PgQiIs
184,Augmented Airspace , الفضاء المعدل,https://www.youtube.com/watch?v=DelIr7qlS8Q
185,Monopoly Beirut ,مونوبولي بيروت,https://www.youtube.com/watch?v=3Dd7_MBY7Js
